Venue Category,Venue Mapping
Indian Restaurant,regular_restaurants
Fast Food Restaurant,regular_restaurants
Lake,nature_view
Monument / Landmark,tourist_interest
Plaza,shopping
Chinese Restaurant,regular_restaurants
Train Station,transport_vicinity
Office,business_hub
Women's Store,stores_daily_conveniences
Stadium,sports_fitness
Burger Joint,café_fastfoods
Vegetarian / Vegan Restaurant,regular_restaurants
Department Store,stores_daily_conveniences
Bus Station,transport_vicinity
Gym,sports_fitness
Restaurant,regular_restaurants
Coffee Shop,café_fastfoods
Italian Restaurant,cuisine_restaurants
Ice Cream Shop,café_fastfoods
Dessert Shop,café_fastfoods
Food Truck,café_fastfoods
Bakery,stores_daily_conveniences
Sandwich Place,café_fastfoods
Arts & Crafts Store,arts_culture_recreation
Shopping Mall,shopping
Grocery Store,stores_daily_conveniences
Lounge,bars_nightlife
Gym / Fitness Center,sports_fitness
Cupcake Shop,café_fastfoods
Deli / Bodega,cuisine_restaurants
Seafood Restaurant,regular_restaurants
Fried Chicken Joint,café_fastfoods
Salad Place,sports_fitness
Scenic Lookout,nature_view
Bar,bars_nightlife
Asian Restaurant,regular_restaurants
Cocktail Bar,bars_nightlife
Salon / Barbershop,stores_daily_conveniences
BBQ Joint,cuisine_restaurants
Eastern European Restaurant,cuisine_restaurants
CafÃ©,café_fastfoods
Arcade,sports_fitness
Sushi Restaurant,cuisine_restaurants
Frozen Yogurt Shop,café_fastfoods
Road,transport_vicinity
Pub,bars_nightlife
Juice Bar,café_fastfoods
Mediterranean Restaurant,cuisine_restaurants
Modern European Restaurant,cuisine_restaurants
Farmers Market,stores_daily_conveniences
Greek Restaurant,cuisine_restaurants
Bagel Shop,café_fastfoods
Donut Shop,café_fastfoods
Event Space,arts_culture_recreation
Pool,sports_fitness
Nightclub,bars_nightlife
Comfort Food Restaurant,regular_restaurants
Snack Place,café_fastfoods
Middle Eastern Restaurant,cuisine_restaurants
French Restaurant,cuisine_restaurants
New American Restaurant,cuisine_restaurants
Furniture / Home Store,shopping
Clothing Store,stores_daily_conveniences
Music Venue,arts_culture_recreation
Performing Arts Venue,arts_culture_recreation
Dim Sum Restaurant,regular_restaurants
Mughlai Restaurant,regular_restaurants
Pizza Place,café_fastfoods
Athletics & Sports,sports_fitness
Basketball Court,sports_fitness
Pharmacy,stores_daily_conveniences
Camera Store,stores_daily_conveniences
Park,kids_family_residential
Multiplex,arts_culture_recreation
Sports Bar,sports_fitness
Theme Park,kids_family_residential
Diner,cuisine_restaurants
Afghan Restaurant,regular_restaurants
Sporting Goods Shop,sports_fitness
Brewery,bars_nightlife
Food & Drink Shop,bars_nightlife
Punjabi Restaurant,regular_restaurants
Bowling Alley,sports_fitness
American Restaurant,regular_restaurants
Electronics Store,stores_daily_conveniences
Gastropub,bars_nightlife
Bookstore,stores_daily_conveniences
Falafel Restaurant,regular_restaurants
Cosmetics Shop,stores_daily_conveniences
History Museum,tourist_interest
Bengali Restaurant,regular_restaurants
Theater,arts_culture_recreation
Men's Store,stores_daily_conveniences
Hotel,tourist_interest
Japanese Restaurant,regular_restaurants
Racetrack,sports_fitness
Other Great Outdoors,nature_view
Concert Hall,arts_culture_recreation
Smoke Shop,stores_daily_conveniences
Yoga Studio,sports_fitness
Platform,transport_vicinity
Wine Shop,stores_daily_conveniences
Food Court,regular_restaurants
Fish Market,stores_daily_conveniences
Garden,nature_view
Spa,stores_daily_conveniences
Movie Theater,arts_culture_recreation
Pet Store,stores_daily_conveniences
Sports Club,sports_fitness
Arts & Entertainment,arts_culture_recreation
Convenience Store,stores_daily_conveniences
Train,transport_vicinity
Hookah Bar,bars_nightlife
Mobile Phone Shop,stores_daily_conveniences
Playground,kids_family_residential
Flea Market,stores_daily_conveniences
Bank,stores_daily_conveniences
Moroccan Restaurant,cuisine_restaurants
Historic Site,arts_culture_recreation
Molecular Gastronomy Restaurant,regular_restaurants
Food,regular_restaurants
Shop & Service,stores_daily_conveniences
Brazilian Restaurant,cuisine_restaurants
South American Restaurant,cuisine_restaurants
College Auditorium,education_colleges
Gourmet Shop,cuisine_restaurants
German Restaurant,cuisine_restaurants
Indie Movie Theater,arts_culture_recreation
General Entertainment,arts_culture_recreation
Tea Room,café_fastfoods
Gluten-free Restaurant,regular_restaurants
Irani Cafe,café_fastfoods
Gym Pool,sports_fitness
Noodle House,regular_restaurants
Thai Restaurant,cuisine_restaurants
Goan Restaurant,regular_restaurants
North Indian Restaurant,regular_restaurants
Garden Center,nature_view
Bed & Breakfast,tourist_interest
Liquor Store,stores_daily_conveniences
Beach,nature_view
Breakfast Spot,regular_restaurants
South Indian Restaurant,regular_restaurants
Track,sports_fitness
Maharashtrian Restaurant,regular_restaurants
Market,stores_daily_conveniences
Hotel Bar,bars_nightlife
Moving Target,sports_fitness
Baseball Field,sports_fitness
Dance Studio,sports_fitness
Neighborhood,kids_family_residential
Campground,nature_view
Lighthouse,nature_view
Bike Rental / Bike Share,stores_daily_conveniences
Auto Dealership,stores_daily_conveniences
Zoo,tourist_interest
Bistro,bars_nightlife
Mexican Restaurant,regular_restaurants
Health & Beauty Service,kids_family_residential
Karaoke Bar,bars_nightlife
Residential Building (Apartment / Condo),kids_family_residential
Miscellaneous Shop,stores_daily_conveniences
Fish & Chips Shop,stores_daily_conveniences
Motorcycle Shop,stores_daily_conveniences
Golf Course,sports_fitness
Light Rail Station,transport_vicinity
Soccer Field,sports_fitness
Burrito Place,regular_restaurants
Dumpling Restaurant,regular_restaurants
Shoe Store,stores_daily_conveniences
Outdoors & Recreation,nature_view
Toy / Game Store,stores_daily_conveniences
Cricket Ground,sports_fitness
College Academic Building,education_colleges
Field,sports_fitness
Art Gallery,arts_culture_recreation
Boutique,shopping
Gift Shop,stores_daily_conveniences
Hockey Arena,sports_fitness
Tennis Court,sports_fitness
Indian Sweet Shop,regular_restaurants
Flower Shop,stores_daily_conveniences
Cafeteria,café_fastfoods
Bus Stop,transport_vicinity
Supermarket,stores_daily_conveniences
Health Food Store,stores_daily_conveniences
Accessories Store,stores_daily_conveniences
Paper / Office Supplies Store,stores_daily_conveniences
ATM,stores_daily_conveniences
Recreation Center,sports_fitness
Spanish Restaurant,cuisine_restaurants
Auto Workshop,stores_daily_conveniences
Indian Chinese Restaurant,regular_restaurants
Creperie,café_fastfoods
Motel,tourist_interest
Wine Bar,bars_nightlife
Steakhouse,cuisine_restaurants
Harbor / Marina,nature_view
Opera House,stores_daily_conveniences
Tailor Shop,stores_daily_conveniences
Sculpture Garden,nature_view
Aquarium,nature_view
Resort,tourist_interest
Rest Area,nature_view
Farm,nature_view
Design Studio,arts_culture_recreation
Metro Station,transport_vicinity
Hot Dog Joint,café_fastfoods
Jewelry Store,stores_daily_conveniences
Building,kids_family_residential
Soccer Stadium,sports_fitness
Tex-Mex Restaurant,regular_restaurants
Dhaba,regular_restaurants
Club House,sports_fitness
Antique Shop,shopping
Boat or Ferry,nature_view
Comedy Club,arts_culture_recreation
Planetarium,tourist_interest
Factory,business_hub
College Gym,education_colleges
Kids Store,kids_family_residential
Beer Garden,bars_nightlife
Gas Station,transport_vicinity
Rental Car Location,stores_daily_conveniences
Toll Plaza,transport_vicinity
Beer Bar,bars_nightlife
Amphitheater,arts_culture_recreation
Outdoor Sculpture,arts_culture_recreation
Gujarati Restaurant,regular_restaurants
Chaat Place,café_fastfoods
River,nature_view
Recording Studio,arts_culture_recreation
Mountain,nature_view
Trail,nature_view
Music Store,arts_culture_recreation
Indoor Play Area,sports_fitness
Business Service,business_hub
Intersection,kids_family_residential
Pier,nature_view
Hotel Pool,tourist_interest
Cheese Shop,stores_daily_conveniences
Gaming Cafe,kids_family_residential
Multicuisine Indian Restaurant,regular_restaurants
Soup Place,regular_restaurants
Government Building,business_hub
Convention Center,business_hub
Hawaiian Restaurant,cuisine_restaurants
City,kids_family_residential
Parsi Restaurant,cuisine_restaurants
Hostel,tourist_interest
Whisky Bar,bars_nightlife
Airport Terminal,transport_vicinity
African Restaurant,regular_restaurants
Pool Hall,sports_fitness
Candy Store,stores_daily_conveniences
Airport Lounge,transport_vicinity
Airport Service,transport_vicinity
Duty-free Shop,transport_vicinity
Airport Food Court,transport_vicinity
Nightlife Spot,bars_nightlife
Dog Run,kids_family_residential
Social Club,kids_family_residential
English Restaurant,cuisine_restaurants
Track Stadium,sports_fitness
Coworking Space,business_hub
Business Center,business_hub
Martial Arts Dojo,arts_culture_recreation
